orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
1.000747038,4.14,0.9967,1823.5,1620.0,1635.2,5472.0,0.79,4.499,FALSE POSITIVE,Kepler
8.884922995,10.51,2.07004,16053.0,770.0,83.21,5332.0,0.843,4.5,CONFIRMED,Kepler
8.09888906,8.95,4.20241,6911.1,986.0,223.19,6214.0,1.076,4.442,CONFIRMED,Kepler
10.00653012,3.52,5.344,936.1,876.0,139.21,6063.0,1.001,4.47,CONFIRMED,Kepler
17.855221681,13.16,7.41287,9065.2,911.0,163.04,6823.0,1.367,4.308,CONFIRMED,Kepler
12.732624065,4.87,2.2083,6465.7,432.0,8.22,3950.0,0.541,4.721,CANDIDATE,Kepler
83.92494032,4.78,6.7904,7958.7,226.0,0.62,3960.0,0.509,4.746,CANDIDATE,Kepler
5.007316661,6.96,4.2362,6932.3,998.0,234.28,5865.0,0.827,4.563,CONFIRMED,Kepler
2.211116989,1.85,1.6485,724.2,931.0,177.19,4500.0,0.646,4.656,CONFIRMED,Kepler
27.9541337,1.9,3.95,942.5,400.0,6.04,4500.0,0.646,4.656,CONFIRMED,Kepler
12.69104387,2.57,3.7727,252.1,1008.0,244.3,5869.0,1.626,4.024,CONFIRMED,Kepler
4.409409243,10.95,3.8636,12861.0,1101.0,347.06,5600.0,0.975,4.368,FALSE POSITIVE,Kepler
16.23947096,4.14,4.0374,2590.7,598.0,30.14,5191.0,0.837,4.564,CONFIRMED,Kepler
6.308201629,2.96,2.9785,1328.5,819.0,106.44,5191.0,0.837,4.564,CONFIRMED,Kepler
2.052349884,13.12,2.0778,14281.0,1497.0,1183.18,5855.0,1.08,4.393,CONFIRMED,Kepler
9.7704486,2.23,2.4517,1897.8,460.0,10.59,3906.0,0.509,4.73,CONFIRMED,Kepler
5.169804269,1.66,2.153,1037.4,569.0,24.75,3906.0,0.509,4.73,CONFIRMED,Kepler
21.22261195,2.48,6.5093,366.0,771.0,83.56,5945.0,1.302,4.213,CONFIRMED,Kepler
